Date,Open,High,Low,Close,Adj Close,Volume
1982-02-17,326.200012,326.380005,324.100006,326.200012,326.200012,47660000
1982-02-18,326.679993,329.679993,324.320007,326.480011,326.480011,60810000
1982-02-19,326.459991,328.440002,322.019989,324.339996,324.339996,51340000
1982-02-22,327.299988,329.600006,319.760010,320.519989,320.519989,58310000
1982-02-23,319.779999,322.899994,315.450012,319.799988,319.799988,60100000
1982-02-24,319.880005,326.299988,317.250000,324.839996,324.839996,64800000
1982-02-25,325.399994,328.679993,322.359985,324.320007,324.320007,54160000
1982-02-26,324.839996,326.320007,321.019989,323.540009,323.540009,43840000
1982-03-01,323.559998,327.720001,320.959991,325.019989,325.019989,53010000
1982-03-02,326.380005,330.459991,322.859985,325.220001,325.220001,63800000
1982-03-03,322.920013,325.660004,317.070007,320.040009,320.040009,70230000
1982-03-04,318.709991,321.640015,313.730011,316.910004,316.910004,74340000
1982-03-05,316.209991,319.279999,313.029999,316.250000,316.250000,67440000
1982-03-08,318.529999,321.040009,310.130005,311.190002,311.190002,67330000
1982-03-09,310.269989,317.369995,308.010010,315.890015,315.890015,76060000
1982-03-10,314.350006,318.820007,312.290009,314.809998,314.809998,59440000
1982-03-11,315.149994,318.880005,312.670013,315.489990,315.489990,52960000
1982-03-12,314.609985,315.910004,309.910004,312.510010,312.510010,49600000
1982-03-15,311.549988,315.589996,309.369995,314.130005,314.130005,43370000
1982-03-16,314.570007,318.049988,311.950012,313.869995,313.869995,48900000
1982-03-17,313.510010,315.989990,311.290009,313.329987,313.329987,48900000
1982-03-18,313.609985,318.250000,312.630005,316.829987,316.829987,54270000
1982-03-19,317.390015,319.899994,314.609985,317.190002,317.190002,46250000
1982-03-22,318.040009,324.320007,316.850006,322.839996,322.839996,57610000
1982-03-23,324.220001,327.500000,321.760010,325.500000,325.500000,67130000
1982-03-24,325.839996,327.959991,322.079987,324.140015,324.140015,49380000
1982-03-25,323.540009,327.459991,321.059998,324.859985,324.859985,51970000
1982-03-26,324.420013,325.320007,320.040009,321.660004,321.660004,42400000
1982-03-29,321.839996,324.600006,319.359985,322.959991,322.959991,37100000
1982-03-30,322.880005,325.420013,320.260010,323.160004,323.160004,43900000
1982-03-31,323.160004,325.760010,320.880005,322.739990,322.739990,43300000
1982-04-01,322.019989,327.980011,321.619995,326.880005,326.880005,57100000
1982-04-02,327.940002,330.940002,325.700012,328.839996,328.839996,59800000
1982-04-05,329.339996,331.119995,326.140015,328.079987,328.079987,46900000
1982-04-06,327.980011,331.329987,325.279999,329.579987,329.579987,43200000
1982-04-07,329.690002,332.730011,327.579987,330.140015,330.140015,53130000
1982-04-08,330.140015,334.690002,328.820007,332.670013,332.670013,60190000
1982-04-12,332.570007,334.750000,330.040009,332.130005,332.130005,46520000
1982-04-13,332.130005,335.790009,330.239990,332.750000,332.750000,48660000
1982-04-14,332.209991,334.410004,328.959991,331.690002,331.690002,45150000
1982-04-15,331.309998,333.269989,328.899994,331.630005,331.630005,45700000
1982-04-16,331.489990,334.850006,330.040009,333.970001,333.970001,55890000
1982-04-19,332.489990,337.529999,331.000000,333.910004,333.910004,58470000
1982-04-20,333.589996,335.369995,329.660004,331.239990,331.239990,54610000
1982-04-21,330.779999,333.790009,328.940002,331.769989,331.769989,57820000
1982-04-22,332.630005,336.769989,331.220001,334.690002,334.690002,64470000
1982-04-23,335.630005,339.609985,333.709991,337.769989,337.769989,71840000
1982-04-26,338.510010,342.309998,336.170013,340.390015,340.390015,60500000
1982-04-27,340.250000,341.809998,335.790009,337.630005,337.630005,56480000
1982-04-28,337.250000,339.209991,332.769989,335.470001,335.470001,50530000
1982-04-29,333.329987,336.109985,330.779999,332.750000,332.750000,51330000
1982-04-30,332.850006,335.890015,330.540009,333.609985,333.609985,48200000
1982-05-03,332.329987,335.989990,329.859985,334.350006,334.350006,46490000
1982-05-04,335.670013,339.149994,333.929993,336.850006,336.850006,58720000
1982-05-05,336.850006,340.609985,334.970001,337.390015,337.390015,58860000
1982-05-06,340.329987,343.489990,337.890015,341.029999,341.029999,67540000
1982-05-07,341.670013,345.799988,339.410004,342.529999,342.529999,67130000
1982-05-10,341.850006,343.190002,338.170013,339.630005,339.630005,46300000
1982-05-11,338.950012,343.779999,338.029999,341.790009,341.790009,54680000
1982-05-12,342.730011,344.679993,339.010010,344.190002,344.190002,59210000
1982-05-13,341.730011,343.820007,337.790009,339.269989,339.269989,58230000
1982-05-14,339.170013,341.869995,336.970001,338.850006,338.850006,49900000
1982-05-17,337.989990,339.049988,333.049988,337.989990,337.989990,45600000
1982-05-18,333.429993,334.829987,329.239990,330.880005,330.880005,48970000
1982-05-19,329.859985,332.290009,327.079987,328.540009,328.540009,48840000
1982-05-20,327.779999,329.760010,324.899994,326.920013,326.920013,48330000
1982-05-21,327.519989,330.420013,325.779999,328.359985,328.359985,45260000
1982-05-24,327.700012,330.040009,325.220001,327.600006,327.600006,38510000
1982-05-25,328.380005,331.079987,325.880005,326.940002,326.940002,44010000
1982-05-26,326.179993,327.559998,321.959991,323.920013,323.920013,51250000
1982-05-27,323.600006,325.399994,320.779999,322.459991,322.459991,44730000
1982-05-28,322.399994,323.820007,317.809998,319.700012,319.700012,43900000
1982-06-01,319.640015,321.279999,316.769989,318.070007,318.070007,41650000
1982-06-02,317.970001,320.890015,316.269989,319.089996,319.089996,49220000
1982-06-03,319.850006,322.739990,317.369995,319.869995,319.869995,48450000
1982-06-04,319.540009,320.549988,314.239990,315.489990,315.489990,44110000
1982-06-07,314.279999,317.450012,312.049988,315.119995,315.119995,44630000
1982-06-08,315.019989,316.859985,312.579987,313.730011,313.730011,46820000
1982-06-09,313.040009,314.470001,308.940002,311.200012,311.200012,55770000
1982-06-10,311.029999,314.119995,309.079987,312.380005,312.380005,50950000
1982-06-11,315.279999,319.190002,313.720001,316.660004,316.660004,68610000
1982-06-14,315.880005,316.890015,312.209991,313.410004,313.410004,40100000
1982-06-15,312.890015,314.649994,309.640015,312.730011,312.730011,44970000
1982-06-16,313.220001,315.480011,309.679993,311.029999,311.029999,56280000
1982-06-17,309.790009,311.149994,306.250000,306.959991,306.959991,49230000
1982-06-18,307.179993,309.000000,304.899994,306.779999,306.779999,53800000
1982-06-21,306.160004,309.989990,304.239990,306.450012,306.450012,50370000
1982-06-22,306.179993,310.720001,305.000000,309.769989,309.769989,55290000
1982-06-23,310.470001,316.079987,308.279999,315.089996,315.089996,54320000
1982-06-24,315.899994,318.880005,312.480011,314.899994,314.899994,55860000
1982-06-25,314.200012,316.000000,311.510010,312.730011,312.730011,38740000
1982-06-28,312.579987,317.739990,311.670013,315.750000,315.750000,40700000
1982-06-29,315.609985,318.149994,313.040009,315.709991,315.709991,46990000
1982-06-30,316.700012,320.079987,314.429993,316.640015,316.640015,65280000
